route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,12,t54B-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t58C-b1F55-slC,"Northside - TCAT",1,8021,39692_shp,0,0
13,12,t5A0-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t5E1-b1F55-slC,"Northside - TCAT",1,8021,39692_shp,0,0
13,12,t5F5-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t60E-b1F55-slC,"Northside - TCAT",1,8021,39692_shp,0,0
13,12,t64A-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t663-b1F55-slC,"Northside - TCAT",1,8021,39692_shp,0,0
13,12,t677-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t6B8-b1F55-slC,"Northside - TCAT",1,8021,39692_shp,0,0
13,12,t6CC-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t70D-b1F55-slC,"Northside - TCAT",1,8021,39692_shp,0,0
13,12,t721-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t73A-b1F55-slC,"Northside - TCAT",1,8021,39692_shp,0,0
13,12,t776-b1F55-slC,"Cayuga Park Medical Office - Downtown",0,8021,39689_shp,0,0
13,12,t787-b1F55-slC,"Northside - TCAT",1,8021,39691_shp,0,0
13,13,t28C-b1B5A-slD,"Northside - Downtown",0,7002,39699_shp,0,0
13,13,t39A-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39698_shp,0,0
13,13,t3B1-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t3ED-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t406-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t41A-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t45B-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t46F-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t4B0-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t4C4-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t4DD-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t519-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t532-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t546-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t587-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t59B-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t5DC-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t5F0-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t609-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t645-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t65E-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t672-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t6B3-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t6C7-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t708-b1B62-slD,"Northside - TCAT",1,7010,39688_shp,0,0
13,13,t71C-b1B62-slD,"Cayuga Park Medical Office - Downtown",0,7010,39693_shp,0,0
13,13,t730-b1B62-slD,"Northside - TCAT",1,7010,39394_shp,0,0
13,15,t2BC-b232C-slF,"Northside - Downtown",0,9004,39694_shp,0,0
13,15,t2E8-b232F-slF,"Northside - Downtown",0,9007,39694_shp,0,0
13,15,t39A-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39695_shp,0,0
